#[Parameters]
# Name = 'NoName'
# ShotNo =000000
# Date = '08/25/2026 13:09'
# DimNo = 3
# DimName = 'frame','x','y'
# DimSize = 50,128,12
# DimUnit = 'No.','pixel','pixel'
# ValNo = 1
# ValName = 'count'
# ValUnit = 'cnt'
#[Comments]
# SubShotno = 001
# Sec_from_epoch = 1787626403
# Exposure_Sec =    0.2000
# ExposureDelay_Sec =    0.2000
# CCDsetgain = 10
# EMRealGain = 1.000000
# PreAmpGain = 4.600000
# KineticCycleTime =    0.20006
#[data]
0,0,0,1575.00
0,0,1,1600.00
0,0,2,1590.00
0,0,3,1592.00
0,0,4,1553.00
0,0,5,1575.00
0,0,6,1561.00
0,0,7,1490.00
0,0,8,1507.00
0,0,9,1510.00
0,0,10,1500.00
0,0,11,1487.00
0,1,0,1638.00
0,1,1,1656.00
0,1,2,1599.00
0,1,3,1578.00
0,1,4,1593.00
0,1,5,1543.00
0,1,6,1573.00
0,1,7,1512.00
0,1,8,1532.00
0,1,9,1513.00
0,1,10,1529.00
0,1,11,1517.00
0,2,0,1865.00
0,2,1,1810.00
0,2,2,1766.00
0,2,3,1671.00
0,2,4,1640.00
0,2,5,1579.00
0,2,6,1552.00
0,2,7,1527.00
0,2,8,1513.00
0,2,9,1498.00
0,2,10,1519.00
0,2,11,1496.00
0,3,0,2066.00
0,3,1,2056.00
0,3,2,1942.00
0,3,3,1916.00
0,3,4,1783.00
0,3,5,1702.00
0,3,6,1623.00
0,3,7,1574.00
0,3,8,1535.00
0,3,9,1518.00
0,3,10,1504.00
0,3,11,1535.00
0,4,0,2281.00
0,4,1,2291.00
0,4,2,2193.00
0,4,3,2154.00
0,4,4,2028.00
0,4,5,1881.00
0,4,6,1839.00
0,4,7,1741.00
0,4,8,1585.00
0,4,9,1556.00
0,4,10,1491.00
0,4,11,1501.00
0,5,0,2461.00
0,5,1,2401.00
0,5,2,2302.00
0,5,3,2303.00
0,5,4,2186.00
0,5,5,2063.00
0,5,6,2091.00
0,5,7,1922.00
0,5,8,1783.00
0,5,9,1671.00
0,5,10,1639.00
0,5,11,1543.00
0,6,0,2495.00
0,6,1,2516.00
0,6,2,2410.00
0,6,3,2431.00
0,6,4,2303.00
0,6,5,2250.00
0,6,6,2235.00
0,6,7,2073.00
0,6,8,1950.00
0,6,9,1891.00
0,6,10,1870.00
0,6,11,1698.00
0,7,0,2571.00
0,7,1,2596.00
0,7,2,2474.00
0,7,3,2525.00
0,7,4,2414.00
0,7,5,2235.00
0,7,6,2309.00
0,7,7,2117.00
0,7,8,2113.00
0,7,9,2001.00
0,7,10,2075.00
0,7,11,1882.00
0,8,0,2590.00
0,8,1,2663.00
0,8,2,2604.00
0,8,3,2527.00
0,8,4,2516.00
0,8,5,2391.00
0,8,6,2396.00
0,8,7,2220.00
0,8,8,2147.00
0,8,9,2160.00
0,8,10,2213.00
0,8,11,2086.00
0,9,0,2746.00
0,9,1,2743.00
0,9,2,2646.00
0,9,3,2571.00
0,9,4,2565.00
0,9,5,2436.00
0,9,6,2428.00
0,9,7,2282.00
0,9,8,2166.00
0,9,9,2173.00
0,9,10,2246.00
0,9,11,2104.00
0,10,0,2818.00
0,10,1,2841.00
0,10,2,2698.00
0,10,3,2652.00
0,10,4,2591.00
0,10,5,2420.00
0,10,6,2477.00
0,10,7,2256.00
0,10,8,2203.00
0,10,9,2251.00
0,10,10,2292.00
0,10,11,2164.00
0,11,0,2874.00
0,11,1,2911.00
0,11,2,2765.00
0,11,3,2813.00
0,11,4,2714.00
0,11,5,2538.00
0,11,6,2474.00
0,11,7,2281.00
0,11,8,2245.00
0,11,9,2197.00
0,11,10,2297.00
0,11,11,2226.00
0,12,0,2862.00
0,12,1,2969.00
0,12,2,2750.00
0,12,3,2875.00
0,12,4,2717.00
0,12,5,2601.00
0,12,6,2728.00
0,12,7,2399.00
0,12,8,2322.00
0,12,9,2284.00
0,12,10,2424.00
0,12,11,2215.00
0,13,0,2830.00
0,13,1,2902.00
0,13,2,2789.00
0,13,3,2825.00
0,13,4,2768.00
0,13,5,2602.00
0,13,6,2685.00
0,13,7,2425.00
0,13,8,2410.00
0,13,9,2362.00
0,13,10,2495.00
0,13,11,2317.00
0,14,0,2728.00
0,14,1,2805.00
0,14,2,2753.00
0,14,3,2842.00
0,14,4,2721.00
0,14,5,2599.00
0,14,6,2697.00
0,14,7,2449.00
0,14,8,2435.00
0,14,9,2422.00
0,14,10,2513.00
0,14,11,2364.00
0,15,0,2570.00
0,15,1,2665.00
0,15,2,2627.00
0,15,3,2714.00
0,15,4,2647.00
0,15,5,2580.00
0,15,6,2585.00
0,15,7,2461.00
0,15,8,2441.00
0,15,9,2427.00
0,15,10,2559.00
0,15,11,2447.00
0,16,0,2314.00
0,16,1,2369.00
0,16,2,2376.00
0,16,3,2524.00
0,16,4,2487.00
0,16,5,2456.00
0,16,6,2562.00
0,16,7,2387.00
0,16,8,2415.00
0,16,9,2375.00
0,16,10,2558.00
0,16,11,2403.00
0,17,0,2121.00
0,17,1,2178.00
0,17,2,2188.00
0,17,3,2272.00
0,17,4,2253.00
0,17,5,2210.00
0,17,6,2369.00
0,17,7,2288.00
0,17,8,2318.00
0,17,9,2328.00
0,17,10,2491.00
0,17,11,2366.00
0,18,0,2009.00
0,18,1,2051.00
0,18,2,2047.00
0,18,3,2069.00
0,18,4,2044.00
0,18,5,2052.00
0,18,6,2100.00
0,18,7,2123.00
0,18,8,2195.00
0,18,9,2189.00
0,18,10,2359.00
0,18,11,2289.00
0,19,0,1986.00
0,19,1,2052.00
0,19,2,1959.00
0,19,3,2054.00
0,19,4,1970.00
0,19,5,1958.00
0,19,6,1988.00
0,19,7,1934.00
0,19,8,1947.00
0,19,9,2033.00
0,19,10,2178.00
0,19,11,2214.00
0,20,0,2004.00
0,20,1,2004.00
0,20,2,1955.00
0,20,3,2013.00
0,20,4,1947.00
0,20,5,1920.00
0,20,6,1911.00
0,20,7,1839.00
0,20,8,1844.00
0,20,9,1909.00
0,20,10,1998.00
0,20,11,2043.00
0,21,0,2121.00
0,21,1,2074.00
0,21,2,1971.00
0,21,3,1994.00
0,21,4,1926.00
0,21,5,1861.00
0,21,6,1874.00
0,21,7,1855.00
0,21,8,1769.00
0,21,9,1834.00
0,21,10,1930.00
0,21,11,1873.00
0,22,0,2321.00
0,22,1,2282.00
0,22,2,2150.00
0,22,3,2118.00
0,22,4,1961.00
0,22,5,1858.00
0,22,6,1894.00
0,22,7,1788.00
0,22,8,1839.00
0,22,9,1752.00
0,22,10,1839.00
0,22,11,1791.00
0,23,0,2541.00
0,23,1,2569.00
0,23,2,2401.00
0,23,3,2426.00
0,23,4,2246.00
0,23,5,2124.00
0,23,6,2009.00
0,23,7,1862.00
0,23,8,1813.00
0,23,9,1807.00
0,23,10,1833.00
0,23,11,1782.00
0,24,0,2665.00
0,24,1,2732.00
0,24,2,2564.00
0,24,3,2686.00
0,24,4,2500.00
0,24,5,2368.00
0,24,6,2297.00
0,24,7,2065.00
0,24,8,1945.00
0,24,9,1886.00
0,24,10,1834.00
0,24,11,1762.00
0,25,0,2922.00
0,25,1,2938.00
0,25,2,2653.00
0,25,3,2763.00
0,25,4,2650.00
0,25,5,2464.00
0,25,6,2476.00
0,25,7,2315.00
0,25,8,2154.00
0,25,9,2042.00
0,25,10,2038.00
0,25,11,1803.00
0,26,0,3057.00
0,26,1,3091.00
0,26,2,2857.00
0,26,3,2900.00
0,26,4,2777.00
0,26,5,2588.00
0,26,6,2606.00
0,26,7,2417.00
0,26,8,2348.00
0,26,9,2268.00
0,26,10,2328.00
0,26,11,2065.00
0,27,0,3106.00
0,27,1,3177.00
0,27,2,2978.00
0,27,3,2979.00
0,27,4,2851.00
0,27,5,2771.00
0,27,6,2790.00
0,27,7,2474.00
0,27,8,2475.00
0,27,9,2337.00
0,27,10,2448.00
0,27,11,2281.00
0,28,0,3177.00
0,28,1,3249.00
0,28,2,3100.00
0,28,3,3128.00
0,28,4,3005.00
0,28,5,2764.00
0,28,6,2836.00
0,28,7,2552.00
0,28,8,2549.00
0,28,9,2430.00
0,28,10,2554.00
0,28,11,2404.00
0,29,0,3150.00
0,29,1,3260.00
0,29,2,3104.00
0,29,3,3161.00
0,29,4,3013.00
0,29,5,2807.00
0,29,6,2938.00
0,29,7,2640.00
0,29,8,2575.00
0,29,9,2549.00
0,29,10,2624.00
0,29,11,2393.00
0,30,0,3183.00
0,30,1,3304.00
0,30,2,3084.00
0,30,3,3153.00
0,30,4,3015.00
0,30,5,2895.00
0,30,6,2929.00
0,30,7,2686.00
0,30,8,2619.00
0,30,9,2638.00
0,30,10,2722.00
0,30,11,2532.00
0,31,0,3102.00
0,31,1,3207.00
0,31,2,3083.00
0,31,3,3137.00
0,31,4,3030.00
0,31,5,2811.00
0,31,6,2891.00
0,31,7,2729.00
0,31,8,2659.00
0,31,9,2586.00
0,31,10,2773.00
0,31,11,2604.00
0,32,0,2942.00
0,32,1,3040.00
0,32,2,2958.00
0,32,3,3121.00
0,32,4,2997.00
0,32,5,2820.00
0,32,6,2911.00
0,32,7,2745.00
0,32,8,2730.00
0,32,9,2635.00
0,32,10,2740.00
0,32,11,2675.00
0,33,0,2850.00
0,33,1,3017.00
0,33,2,2851.00
0,33,3,2975.00
0,33,4,2857.00
0,33,5,2779.00
0,33,6,2830.00
0,33,7,2701.00
0,33,8,2657.00
0,33,9,2540.00
0,33,10,2736.00
0,33,11,2609.00
0,34,0,2689.00
0,34,1,2729.00
0,34,2,2665.00
0,34,3,2744.00
0,34,4,2754.00
0,34,5,2650.00
0,34,6,2762.00
0,34,7,2583.00
0,34,8,2520.00
0,34,9,2601.00
0,34,10,2751.00
0,34,11,2535.00
0,35,0,2321.00
0,35,1,2481.00
0,35,2,2428.00
0,35,3,2559.00
0,35,4,2577.00
0,35,5,2492.00
0,35,6,2561.00
0,35,7,2486.00
0,35,8,2454.00
0,35,9,2484.00
0,35,10,2690.00
0,35,11,2541.00
0,36,0,1974.00
0,36,1,2074.00
0,36,2,2044.00
0,36,3,2210.00
0,36,4,2266.00
0,36,5,2281.00
0,36,6,2430.00
0,36,7,2301.00
0,36,8,2344.00
0,36,9,2402.00
0,36,10,2618.00
0,36,11,2513.00
0,37,0,1650.00
0,37,1,1689.00
0,37,2,1733.00
0,37,3,1845.00
0,37,4,1894.00
0,37,5,1945.00
0,37,6,2166.00
0,37,7,2119.00
0,37,8,2227.00
0,37,9,2317.00
0,37,10,2497.00
0,37,11,2422.00
0,38,0,1612.00
0,38,1,1608.00
0,38,2,1603.00
0,38,3,1650.00
0,38,4,1653.00
0,38,5,1649.00
0,38,6,1727.00
0,38,7,1817.00
0,38,8,1951.00
0,38,9,2061.00
0,38,10,2297.00
0,38,11,2305.00
0,39,0,1623.00
0,39,1,1623.00
0,39,2,1574.00
0,39,3,1587.00
0,39,4,1577.00
0,39,5,1572.00
0,39,6,1577.00
0,39,7,1583.00
0,39,8,1691.00
0,39,9,1740.00
0,39,10,1948.00
0,39,11,2074.00
0,40,0,1585.00
0,40,1,1579.00
0,40,2,1593.00
0,40,3,1567.00
0,40,4,1551.00
0,40,5,1559.00
0,40,6,1559.00
0,40,7,1531.00
0,40,8,1526.00
0,40,9,1549.00
0,40,10,1631.00
0,40,11,1730.00
0,41,0,1585.00
0,41,1,1605.00
0,41,2,1603.00
0,41,3,1600.00
0,41,4,1589.00
0,41,5,1553.00
0,41,6,1560.00
0,41,7,1486.00
0,41,8,1517.00
0,41,9,1494.00
0,41,10,1541.00
0,41,11,1519.00
0,42,0,1578.00
0,42,1,1571.00
0,42,2,1556.00
0,42,3,1597.00
0,42,4,1541.00
0,42,5,1515.00
0,42,6,1547.00
0,42,7,1516.00
0,42,8,1517.00
0,42,9,1497.00
0,42,10,1529.00
0,42,11,1497.00
0,43,0,1545.00
0,43,1,1580.00
0,43,2,1562.00
0,43,3,1562.00
0,43,4,1561.00
0,43,5,1508.00
0,43,6,1538.00
0,43,7,1516.00
0,43,8,1518.00
0,43,9,1494.00
0,43,10,1516.00
0,43,11,1475.00
0,44,0,1572.00
0,44,1,1594.00
0,44,2,1583.00
0,44,3,1582.00
0,44,4,1580.00
0,44,5,1529.00
0,44,6,1524.00
0,44,7,1504.00
0,44,8,1513.00
0,44,9,1491.00
0,44,10,1509.00
0,44,11,1470.00
0,45,0,1570.00
0,45,1,1597.00
0,45,2,1575.00
0,45,3,1569.00
0,45,4,1605.00
0,45,5,1546.00
0,45,6,1534.00
0,45,7,1539.00
0,45,8,1507.00
0,45,9,1497.00
0,45,10,1505.00
0,45,11,1485.00
0,46,0,1546.00
0,46,1,1568.00
0,46,2,1567.00
0,46,3,1562.00
0,46,4,1572.00
0,46,5,1555.00
0,46,6,1556.00
0,46,7,1514.00
0,46,8,1508.00
0,46,9,1520.00
0,46,10,1484.00
0,46,11,1462.00
0,47,0,1550.00
0,47,1,1629.00
0,47,2,1583.00
0,47,3,1581.00
0,47,4,1559.00
0,47,5,1533.00
0,47,6,1535.00
0,47,7,1527.00
0,47,8,1514.00
0,47,9,1485.00
0,47,10,1492.00
0,47,11,1476.00
0,48,0,1602.00
0,48,1,1578.00
0,48,2,1568.00
0,48,3,1581.00
0,48,4,1589.00
0,48,5,1564.00
0,48,6,1550.00
0,48,7,1537.00
0,48,8,1507.00
0,48,9,1532.00
0,48,10,1495.00
0,48,11,1475.00
0,49,0,1575.00
0,49,1,1604.00
0,49,2,1596.00
0,49,3,1561.00
0,49,4,1559.00
0,49,5,1555.00
0,49,6,1551.00
0,49,7,1502.00
0,49,8,1487.00
0,49,9,1487.00
0,49,10,1492.00
0,49,11,1467.00
0,50,0,1560.00
0,50,1,1587.00
0,50,2,1569.00
0,50,3,1599.00
0,50,4,1545.00
0,50,5,1574.00
0,50,6,1557.00
0,50,7,1495.00
0,50,8,1497.00
0,50,9,1491.00
0,50,10,1494.00
0,50,11,1494.00
0,51,0,1582.00
0,51,1,1572.00
0,51,2,1585.00
0,51,3,1596.00
0,51,4,1565.00
0,51,5,1558.00
0,51,6,1545.00
0,51,7,1515.00
0,51,8,1515.00
0,51,9,1486.00
0,51,10,1527.00
0,51,11,1482.00
0,52,0,1576.00
0,52,1,1569.00
0,52,2,1577.00
0,52,3,1594.00
0,52,4,1585.00
0,52,5,1534.00
0,52,6,1541.00
0,52,7,1508.00
0,52,8,1498.00
0,52,9,1494.00
0,52,10,1503.00
0,52,11,1477.00
0,53,0,1546.00
0,53,1,1594.00
0,53,2,1575.00
0,53,3,1588.00
0,53,4,1574.00
0,53,5,1572.00
0,53,6,1550.00
0,53,7,1524.00
0,53,8,1481.00
0,53,9,1509.00
0,53,10,1524.00
0,53,11,1465.00
0,54,0,1583.00
0,54,1,1578.00
0,54,2,1541.00
0,54,3,1551.00
0,54,4,1538.00
0,54,5,1517.00
0,54,6,1530.00
0,54,7,1497.00
0,54,8,1518.00
0,54,9,1484.00
0,54,10,1514.00
0,54,11,1479.00
0,55,0,1560.00
0,55,1,1621.00
0,55,2,1595.00
0,55,3,1570.00
0,55,4,1540.00
0,55,5,1512.00
0,55,6,1538.00
0,55,7,1505.00
0,55,8,1514.00
0,55,9,1488.00
0,55,10,1496.00
0,55,11,1486.00
0,56,0,1592.00
0,56,1,1544.00
0,56,2,1588.00
0,56,3,1603.00
0,56,4,1553.00
0,56,5,1517.00
0,56,6,1548.00
0,56,7,1518.00
0,56,8,1483.00
0,56,9,1530.00
0,56,10,1481.00
0,56,11,1497.00
0,57,0,1598.00
0,57,1,1592.00
0,57,2,1540.00
0,57,3,1578.00
0,57,4,1545.00
0,57,5,1544.00
0,57,6,1521.00
0,57,7,1531.00
0,57,8,1483.00
0,57,9,1500.00
0,57,10,1525.00
0,57,11,1483.00
0,58,0,1587.00
0,58,1,1629.00
0,58,2,1556.00
0,58,3,1564.00
0,58,4,1569.00
0,58,5,1541.00
0,58,6,1545.00
0,58,7,1525.00
0,58,8,1493.00
0,58,9,1510.00
0,58,10,1531.00
0,58,11,1500.00
0,59,0,1584.00
0,59,1,1585.00
0,59,2,1593.00
0,59,3,1580.00
0,59,4,1559.00
0,59,5,1535.00
0,59,6,1551.00
0,59,7,1511.00
0,59,8,1484.00
0,59,9,1484.00
0,59,10,1525.00
0,59,11,1511.00
0,60,0,1562.00
0,60,1,1599.00
0,60,2,1590.00
0,60,3,1576.00
0,60,4,1561.00
0,60,5,1550.00
0,60,6,1516.00
0,60,7,1522.00
0,60,8,1519.00
0,60,9,1509.00
0,60,10,1495.00
0,60,11,1500.00
0,61,0,1559.00
0,61,1,1619.00
0,61,2,1574.00
0,61,3,1593.00
0,61,4,1566.00
0,61,5,1527.00
0,61,6,1586.00
0,61,7,1508.00
0,61,8,1503.00
0,61,9,1512.00
0,61,10,1521.00
0,61,11,1503.00
0,62,0,1574.00
0,62,1,1614.00
0,62,2,1596.00
0,62,3,1588.00
0,62,4,1559.00
